id,case_title,case_type,case_number,year,division,court_name,pdf_url,translation_url,filename,upload_date,scraped_at
SC_HCD_0095,First Misc Appeal 591/2025,First Misc Appeal,591/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3508592_FMA_591_2025_withC_Rule_419_FM_2025_Tamannan_Double_Bench.pdf,https://supremecourt.gov.bd/translation/process.php?file=3508592_FMA_591_2025_withC_Rule_419_FM_2025_Tamannan_Double_Bench.pdf,3508592_FMA_591_2025_withC_Rule_419_FM_2025_Tamannan_Double_Bench.pdf,,2026-08-22T14:57:44.639017
SC_HCD_0096,First Appeal 282/2007,First Appeal,282/2007,2007,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/5732_F.A.No.2820f2007.pdf,https://supremecourt.gov.bd/translation/process.php?file=5732_F.A.No.2820f2007.pdf,5732_F.A.No.2820f2007.pdf,,2026-08-22T14:57:44.639105
SC_HCD_0097,Civil Revision 3814/2025,Civil Revision,3814/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3375835_C_R_No_3814_2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=3375835_C_R_No_3814_2025.pdf,3375835_C_R_No_3814_2025.pdf,,2026-08-22T14:57:45.780885
SC_HCD_0098,Writ Petition (TN) 4645/2025,Writ Petition (TN),4645/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1_W_P_4645of2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=1_W_P_4645of2025.pdf,1_W_P_4645of2025.pdf,,2026-08-22T14:57:45.780963
SC_HCD_0099,Criminal Revision 726/2026,Criminal Revision,726/2026,2026,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3658574_Crl.Rev.No.726of2026(Disposedof)(06.08.2026).pdf,https://supremecourt.gov.bd/translation/process.php?file=3658574_Crl.Rev.No.726of2026(Disposedof)(06.08.2026).pdf,3658574_Crl.Rev.No.726of2026(Disposedof)(06.08.2026).pdf,,2026-08-22T14:57:45.781021
SC_HCD_0100,Company Matter 459/2024,Company Matter,459/2024,2024,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/2827010_CompanyMatterNo.459of2024.pdf,https://supremecourt.gov.bd/translation/process.php?file=2827010_CompanyMatterNo.459of2024.pdf,2827010_CompanyMatterNo.459of2024.pdf,,2026-08-22T14:57:45.781073
SC_HCD_0101,Civil Revision 3226/2024,Civil Revision,3226/2024,2024,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3137850_C_R_No_3226_2024.pdf,https://supremecourt.gov.bd/translation/process.php?file=3137850_C_R_No_3226_2024.pdf,3137850_C_R_No_3226_2024.pdf,,2026-08-22T14:57:45.781129
SC_HCD_0102,Civil Revision 650/2022,Civil Revision,650/2022,2022,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/2130564_C_R_No_650_2022.pdf,https://supremecourt.gov.bd/translation/process.php?file=2130564_C_R_No_650_2022.pdf,2130564_C_R_No_650_2022.pdf,,2026-08-22T14:57:45.781180
SC_HCD_0103,Civil Revision 3949/2025,Civil Revision,3949/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3393886_C_R_No_3949_2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=3393886_C_R_No_3949_2025.pdf,3393886_C_R_No_3949_2025.pdf,,2026-08-22T14:57:45.781230
SC_HCD_0104,Civil Revision 5634/2007,Civil Revision,5634/2007,2007,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/108740_C.R.No.5634of2007_Discharged.pdf,https://supremecourt.gov.bd/translation/process.php?file=108740_C.R.No.5634of2007_Discharged.pdf,108740_C.R.No.5634of2007_Discharged.pdf,,2026-08-22T14:57:45.781281
